new entry "Zone_DeccexGrowl"
type "SpellData"
data "SpellType" "Zone"
data "Cooldown" "OncePerCombat"
data "SurfaceType" "None"
data "SurfaceLifetime" "0"
data "SurfaceGrowStep" "5"
data "SurfaceGrowInterval" "1"
data "SpellRoll" "not SavingThrow(Ability.Constitution,SourceSpellDC(),AdvantageOnOrinFear())"
data "SpellSuccess" "DealDamage(3d8+4, Piercing,Magical);ApplyStatus(BLEEDING,100,2);ApplyStatus(FEARED,100,2)"
data "SpellFail" "DealDamage(3d8+4, Piercing,Magical)"
data "TargetConditions" "Character()"
data "Icon" "Action_Monster_Slayer_DeathGrowl"
data "DisplayName" "h49a95be9gd1f3g54d6g922bgabae56d21f83;1"
data "Description" "h46f71cb5g239fgd0dag6990g854ad2903b46;1"
data "TooltipDamageList" "DealDamage(3d8+4, Piercing)"
data "TooltipAttackSave" "Constitution"
data "TooltipStatusApply" "ApplyStatus(BLEEDING,100,2);ApplyStatus(FEARED,100,2)"
data "TooltipOnSave" "f762efbb-f8f1-493e-b248-2de1567b4bd2"
data "PrepareSound" "CrSpell_Prepare_Slayer_BloodBath"
data "PrepareLoopSound" "CrSpell_Loop_Slayer_BloodBath"
data "CastSound" "Crspell_Cast_Slayer_DeathGrowl"
data "TargetSound" "Crspell_Impact_Slayer_DeathGrowl"
data "CastTextEvent" "Cast"
data "Shape" "Cone"
data "FrontOffset" "-2"
data "Range" "9"
data "Angle" "60"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "50e7cd15-5b95-47e9-b6f8-ed7900d23d9d,,;,,;289b4f53-3ca5-4dff-a1d4-e84a84a283f0,,;772a34bf-06c1-43ee-ae7b-1a1ffd3fef9e,,;03239618-40c7-47ab-a7b4-d2e0b111e5f7,,;,,;bc09e561-370b-4307-88d7-6462b6fbabec,,;,,;,,"
data "VerbalIntent" "Damage"
data "SpellFlags" "IsAttack;IsHarmful;Temporary"
data "RechargeValues" "5-6"
data "SpellAnimationIntentType" "Aggressive"
data "PrepareEffect" "09b965b7-0c92-440d-89a3-86f0442a2042"
data "CastEffect" "1f96b6f5-a954-4be0-93a5-991f20ae6411"
data "DamageType" "Piercing"

